tarih,buyukluk,derinlik_km,kaynak,enlem,boylam,yer,yil
2023-02-06 01:17:34,7.8,10.0,USGS,37.2256,37.0143,"Pazarcik earthquake, Kahramanmaras earthquake sequence",2023
1999-08-17 00:01:39,7.6,17.0,USGS,40.748,29.864,"4 km ESE of Derince, Turkey",1999
2023-02-06 10:24:48,7.5,7.432,USGS,38.0106,37.1962,"Elbistan earthquake, Kahramanmaras earthquake sequence",2023
1999-11-12 16:57:19,7.2,10.0,USGS,40.758,31.161,"8 km S of Düzce, Turkey",1999
2011-10-23 10:41:23,7.1,18.0,USGS,38.721,43.508,"27 km NNE of Van, Turkey",2011
2020-10-30 11:51:27,7.0,21.0,USGS,37.8973,26.7838,"13 km NNE of Néon Karlovásion, Greece",2020
1991-04-29 09:12:48,7.0,17.2,USGS,42.453,43.673,"22 km WNW of Java, Georgia",1991
2014-05-24 09:25:02,6.9,6.43,USGS,40.2893,25.3889,"21 km SSW of Kamariótissa, Greece",2014
1992-03-13 17:18:39,6.7,27.2,USGS,39.71,39.605,"8 km W of Cimin, Turkey",1992
2020-01-24 17:55:14,6.7,10.0,USGS,38.4312,39.0609,"13 km N of Do?anyol, Turkey",2020
2023-02-06 01:28:15,6.7,9.797,USGS,37.1893,36.8929,"14 km E of Nurda??, Turkey",2023
2022-01-11 01:07:48,6.6,21.0,USGS,35.2267,31.9435,"48 km WNW of Pólis, Cyprus",2022
2017-07-20 22:31:11,6.6,7.0,USGS,36.9293,27.4139,"11 km ENE of Kos, Greece",2017
2002-02-03 07:11:28,6.5,5.0,USGS,38.573,31.271,"5 km NE of Sultanda??, Turkey",2002
2003-05-01 00:27:04,6.4,10.0,USGS,39.007,40.464,"13 km N of Bingöl, Turkey",2003
2008-07-15 03:26:34,6.4,52.0,USGS,35.8,27.86,"35 km SSW of Lárdos, Greece",2008
1995-10-01 15:57:16,6.4,33.0,USGS,38.063,30.134,"2 km W of Dinar, Turkey",1995
2021-10-12 09:24:05,6.4,20.0,USGS,35.1691,26.2152,"4 km SW of Palekastro, Greece",2021
1991-06-15 00:59:20,6.3,9.4,USGS,42.461,44.009,"9 km NE of Java, Georgia",1991
1998-06-27 13:55:52,6.3,33.0,USGS,36.878,35.307,"12 km S of Adana, Turkey",1998
2023-02-20 17:04:29,6.3,16.0,USGS,36.1616,36.0251,"2 km NNW of Uzunba?, Turkey",2023
2017-06-12 12:28:39,6.3,12.0,USGS,38.9296,26.365,"5 km S of Plomári, Greece",2017
2002-01-22 04:53:52,6.2,88.0,USGS,35.79,26.617,"49 km NW of Fry, Greece",2002
1996-07-20 00:00:41,6.2,33.0,USGS,36.147,27.103,"Dodecanese Islands, Greece",1996
1991-04-29 18:30:41,6.1,14.3,USGS,42.503,43.899,"11 km NNW of Java, Georgia",1991
1992-11-06 19:08:09,6.1,17.2,USGS,38.16,26.998,"14 km ESE of Seferihisar, Turkey",1992
2022-11-23 01:08:15,6.1,10.0,USGS,40.8356,30.9831,"15 km W of Düzce, Turkey",2022
2003-01-27 05:26:23,6.1,10.0,USGS,39.5,39.878,"2 km NW of Pulumer, Turkey",2003
2010-03-08 02:32:34,6.1,12.0,USGS,38.864,39.986,"10 km SSW of Karakoçan, Turkey",2010
1997-11-14 21:38:51,6.0,17.9,USGS,38.859,25.795,"36 km SSW of Eresós, Greece",1997
2000-12-15 16:44:47,6.0,10.0,USGS,38.457,31.351,"12 km NNW of Ak?ehir, Turkey",2000
2000-06-06 02:41:49,6.0,10.0,USGS,40.693,32.992,"12 km NW of Orta, Turkey",2000
2002-02-03 09:26:43,6.0,10.0,USGS,38.632,30.902,"11 km WNW of Çay, Turkey",2002
2011-04-01 13:29:10,6.0,59.9,USGS,35.662,26.56,"42 km NW of Fry, Greece",2011
2015-04-16 18:07:43,6.0,20.0,USGS,35.1891,26.8235,"26 km SSW of Fry, Greece",2015
2012-06-10 12:44:16,6.0,35.0,USGS,36.42,28.88,"28 km SW of Ölüdeniz, Turkey",2012
2009-09-07 22:41:37,6.0,15.0,USGS,42.66,43.443,"8 km N of Oni, Georgia",2009
2020-02-23 16:00:31,6.0,10.0,USGS,38.4958,44.3732,"37 km ESE of Özalp, Turkey",2020
2021-09-27 06:17:21,6.0,6.0,USGS,35.244,25.2697,"6 km N of Thrapsanón, Greece",2021
2023-02-06 10:26:46,6.0,10.0,USGS,38.0315,38.0984,"12 km W of Çelikhan, Turkey",2023
2023-02-06 12:02:11,6.0,8.516,USGS,38.0582,36.5114,"4 km NNE of Göksun, Turkey",2023
2024-10-16 07:46:32,6.0,10.0,USGS,38.3115,38.8059,"19 km W of Doğanyol, Turkey",2024
